INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Márcio André Bernardo Galvão', 'Aracaju', 'SE');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Renato Thiago Mendes', 'Ananindeua', 'PA');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Larissa Sabrina Alves', 'Macapá', 'AP');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Ian Mário Araújo', 'Campina Grande', 'PB');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Pietro Theo Luiz Pinto', 'Boa Vista', 'RR');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Ana Alice Nogueira', 'Mossoró', 'RN');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Kamilly Stefany Sarah Gonçalves', 'Canoas', 'RS');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Sophia Bianca Santos', 'Maceió', 'AL');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Alexandre Rodrigo Davi Mendes', 'Brasília', 'DF');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Andrea Cláudia Vieira', 'Cidade Ocidental', 'GO');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Benício João Igor Galvão', 'São Luís', 'MA');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Julio Igor das Neves', 'Salvador', 'BA');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Antonella Camila Moraes', 'Santana', 'AP');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Geraldo Kaique Moreira', 'Maracanaú', 'CE');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Beatriz Bianca Farias', 'Arapiraca', 'AL');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Patrícia Isadora Bernardes', 'Luziânia', 'GO');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Julio Oliver Cavalcanti', 'Rio de Janeiro', 'RJ');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Camila Luiza Jesus', 'Foz do Iguaçu', 'PR');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Anthony Felipe da Cruz', 'Fortaleza', 'CE');
INSERT INTO `vendas`.`clientes` (`Nome`, `Cidade`, `UF`) VALUES ('Danilo Caio Yuri Mendes', 'Macapá', 'AP');
